Testset,Acc@1,Acc@5
rmnist-0,37.722,89.226
rmnist-1,33.980,89.727
rmnist-2,27.578,86.655
rmnist-3,23.194,81.769
rmnist-4,18.552,73.849
rmnist-5,16.714,68.334
rmnist-6,15.634,63.088
rmnist-7,15.739,59.264
rmnist-8,15.147,57.001
